,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
113,Mar Del Plata,-38.0023,-57.5575,14.93,67,0,5.81,AR,2022-08-11 21:00:31,clear sky
114,Pevek,69.7008,170.3133,2.51,91,88,2.52,RU,2022-08-11 21:01:56,overcast clouds
115,Westport,41.1415,-73.3579,32.26,57,100,2.68,US,2022-08-11 21:01:56,overcast clouds
116,Hamilton,39.1834,-84.5333,29.56,59,61,0.89,US,2022-08-11 21:01:12,broken clouds
117,Sao Joao Da Barra,-21.6403,-41.0511,21.61,60,99,12.67,BR,2022-08-11 21:01:57,overcast clouds
118,East London,-33.0153,27.9116,17.81,82,97,2.37,ZA,2022-08-11 21:00:34,overcast clouds
119,Baykit,61.67,96.37,7.23,88,16,1.66,RU,2022-08-11 21:01:57,few clouds
120,Moron,-34.6534,-58.6198,17.22,54,0,2.55,AR,2022-08-11 21:01:58,clear sky
121,Launceston,-41.45,147.1667,8.97,94,75,2.57,AU,2022-08-11 21:01:58,broken clouds
122,Ilulissat,69.2167,-51.1,5.01,87,75,1.54,GL,2022-08-11 21:01:59,broken clouds
123,Bredasdorp,-34.5322,20.0403,12.19,82,100,2.66,ZA,2022-08-11 21:01:59,overcast clouds
124,Hami,42.8,93.45,29.96,29,41,6.4,CN,2022-08-11 21:02:00,scattered clouds
125,Segou,13.4317,-6.2157,27.68,70,95,3.23,ML,2022-08-11 21:02:00,light rain
126,Ukiah,39.1502,-123.2078,34.13,36,0,2.57,US,2022-08-11 21:02:01,clear sky
127,Lompoc,34.6391,-120.4579,26.03,70,75,6.69,US,2022-08-11 21:02:01,broken clouds
128,San Patricio,28.017,-97.5169,36.77,42,100,2.94,US,2022-08-11 21:02:01,overcast clouds
129,Puerto Ayacucho,5.6639,-67.6236,29.07,75,99,0.44,VE,2022-08-11 21:02:02,overcast clouds
130,Morehead,37.2711,-87.1764,29.36,64,75,2.06,US,2022-08-11 21:02:02,broken clouds
131,Griffith,41.5284,-87.4237,26.17,56,0,5.66,US,2022-08-11 21:02:03,clear sky
132,Wanning,18.8003,110.3967,26.23,89,100,1.25,CN,2022-08-11 21:02:03,overcast clouds
133,Klaksvik,62.2266,-6.589,11.51,83,100,4.99,FO,2022-08-11 21:02:03,overcast clouds
134,Erenhot,43.6475,111.9767,21.56,48,81,6.16,CN,2022-08-11 21:02:04,broken clouds
135,Kashi,39.4547,75.9797,26.76,40,62,1.8,CN,2022-08-11 21:03:04,broken clouds
136,Zhigansk,66.7697,123.3711,9.2,75,31,9.9,RU,2022-08-11 21:03:05,scattered clouds
137,Aitape,-3.1374,142.3475,24.82,86,83,1.63,PG,2022-08-11 21:03:05,broken clouds
138,Carauari,-4.8828,-66.8958,32.88,42,79,0.96,BR,2022-08-11 21:03:06,broken clouds
139,Lixourion,38.2019,20.4314,26.23,69,8,2.12,GR,2022-08-11 21:03:06,clear sky
140,Mount Isa,-20.7333,139.5,16.87,36,96,1.54,AU,2022-08-11 21:03:06,overcast clouds
141,Tambacounda,13.7539,-13.7586,26.04,89,95,3.56,SN,2022-08-11 21:03:07,light rain
142,Bluff,-46.6,168.3333,4.18,83,99,4.56,NZ,2022-08-11 21:00:34,overcast clouds
143,Lavrentiya,65.5833,-171.0,6.69,90,79,2.7,RU,2022-08-11 21:03:07,broken clouds
144,Dahod,22.8333,74.2667,24.24,94,100,6.99,IN,2022-08-11 21:03:08,overcast clouds
145,Waingapu,-9.6567,120.2641,24.39,88,24,4.18,ID,2022-08-11 21:03:08,few clouds
146,Wasilla,61.5814,-149.4394,19.05,67,97,1.79,US,2022-08-11 20:58:24,overcast clouds
147,San Pedro,14.35,121.0167,25.2,89,87,0.87,PH,2022-08-11 21:03:09,overcast clouds
148,Cherskiy,68.75,161.3,14.88,62,97,3.81,RU,2022-08-11 21:03:09,overcast clouds
149,Nanning,22.8167,108.3167,24.09,94,42,1.7,CN,2022-08-11 21:03:10,scattered clouds
150,Fortuna,40.5982,-124.1573,22.18,73,75,4.12,US,2022-08-11 21:01:43,broken clouds
151,Batagay-Alyta,67.8006,130.4114,9.9,79,100,2.92,RU,2022-08-11 21:03:10,overcast clouds
152,Guerrero Negro,27.9769,-114.0611,28.37,46,1,7.03,MX,2022-08-11 21:03:11,clear sky
153,Luanda,-8.8368,13.2343,19.43,92,38,3.51,AO,2022-08-11 21:03:11,scattered clouds
154,Mitsamiouli,-11.3847,43.2844,23.86,73,1,2.5,KM,2022-08-11 21:03:12,clear sky
155,Owensboro,37.7742,-87.1133,30.55,54,0,3.31,US,2022-08-11 21:00:07,clear sky
156,Butaritari,3.0707,172.7902,27.76,74,99,5.79,KI,2022-08-11 21:03:12,overcast clouds
157,Lunino,53.5918,45.2271,16.68,91,4,1.7,RU,2022-08-11 21:03:13,clear sky
158,Labuan,5.2767,115.2417,27.63,79,51,3.7,MY,2022-08-11 21:03:13,broken clouds
159,Chateauroux,46.8167,1.7,22.0,37,0,4.12,FR,2022-08-11 21:03:14,clear sky
160,Baoqing,46.3317,132.2111,14.92,92,25,1.51,CN,2022-08-11 21:03:14,scattered clouds
161,Azangaro,-14.9167,-70.2167,15.84,17,12,4.68,PE,2022-08-11 21:03:15,few clouds
162,Orel,52.9658,36.0803,17.46,74,6,4.02,RU,2022-08-11 21:03:15,clear sky
163,Sernovodsk,43.3117,45.1594,24.31,64,0,1.74,RU,2022-08-11 21:03:16,clear sky
164,Pechora,65.1472,57.2244,10.85,75,72,3.48,RU,2022-08-11 21:03:16,broken clouds
165,Coquimbo,-29.9533,-71.3436,13.44,80,100,2.13,CL,2022-08-11 21:03:16,overcast clouds
166,Sept-Iles,50.2001,-66.3821,18.92,83,96,0.89,CA,2022-08-11 21:02:04,overcast clouds
167,Carnarvon,-24.8667,113.6333,15.16,34,0,6.83,AU,2022-08-11 21:03:17,clear sky
168,Neuquen,-38.9516,-68.0591,14.36,38,100,1.24,AR,2022-08-11 21:03:17,overcast clouds
169,Sumbawanga,-7.9667,31.6167,14.76,45,15,2.05,TZ,2022-08-11 21:03:18,few clouds
170,Pangnirtung,66.1451,-65.7125,12.28,59,12,1.49,CA,2022-08-11 21:03:18,few clouds
171,Puerto Escondido,15.85,-97.0667,29.52,68,100,2.48,MX,2022-08-11 21:03:19,overcast clouds
172,Jamestown,42.097,-79.2353,25.01,45,20,4.63,US,2022-08-11 21:03:19,few clouds
173,Ahipara,-35.1667,173.1667,10.79,77,34,3.24,NZ,2022-08-11 21:03:19,scattered clouds
174,Saint-Philippe,-21.3585,55.7679,18.77,70,35,5.56,RE,2022-08-11 21:03:20,scattered clouds
175,Dolny Kubin,49.2098,19.3034,13.06,98,69,1.83,SK,2022-08-11 21:04:20,broken clouds
176,Ponta Do Sol,32.6667,-17.1,22.78,74,61,1.44,PT,2022-08-11 21:04:21,broken clouds
177,Codrington,-38.2667,141.9667,7.74,92,100,1.95,AU,2022-08-11 21:04:21,overcast clouds
178,Constitucion,-35.3333,-72.4167,11.94,69,0,3.21,CL,2022-08-11 21:04:22,clear sky
179,Ferme-Neuve,46.7001,-75.4493,20.03,49,24,5.21,CA,2022-08-11 21:04:22,few clouds
180,Sitka,57.0531,-135.33,17.94,77,75,1.54,US,2022-08-11 21:04:22,broken clouds
181,Itarema,-2.9248,-39.9167,25.68,81,91,7.1,BR,2022-08-11 21:04:23,overcast clouds
182,Fatima,39.6207,-8.6524,18.72,79,0,2.29,PT,2022-08-11 21:01:05,clear sky
183,Belaya Gora,68.5333,146.4167,14.71,65,75,6.92,RU,2022-08-11 21:04:23,broken clouds
184,Altamira,-3.2033,-52.2064,30.44,52,85,1.26,BR,2022-08-11 21:02:20,overcast clouds
185,Humaita,-7.5061,-63.0208,33.05,39,57,0.75,BR,2022-08-11 21:04:24,broken clouds
186,Fort Nelson,58.8053,-122.7002,19.83,51,68,1.35,CA,2022-08-11 21:02:23,broken clouds
187,Shakiso,5.75,38.9167,14.54,96,99,0.41,ET,2022-08-11 21:04:24,overcast clouds
188,Oshkosh,44.0247,-88.5426,24.99,53,3,0.89,US,2022-08-11 20:59:36,clear sky
189,Chokurdakh,70.6333,147.9167,9.39,72,100,3.82,RU,2022-08-11 21:04:25,overcast clouds
190,Lingyuan,41.24,119.4011,19.8,91,89,1.36,CN,2022-08-11 21:04:25,overcast clouds
191,Nioro,13.35,-15.75,26.35,80,89,3.58,GM,2022-08-11 21:04:26,overcast clouds
192,Harbour Breton,47.4833,-55.7983,15.99,82,100,3.39,CA,2022-08-11 21:04:26,overcast clouds
193,Turgenevo,54.8455,46.3297,15.49,87,8,1.18,RU,2022-08-11 21:04:26,clear sky
194,Tim,51.6222,37.1244,20.5,73,5,5.47,RU,2022-08-11 21:04:27,clear sky
195,Cape Town,-33.9258,18.4232,15.21,76,100,3.13,ZA,2022-08-11 21:04:27,overcast clouds
196,Mantena,-18.7817,-40.9803,22.47,35,99,1.61,BR,2022-08-11 21:04:28,overcast clouds
197,Khandyga,62.6667,135.6,14.02,90,98,0.9,RU,2022-08-11 21:04:28,overcast clouds
198,Sakaiminato,35.55,133.2333,26.14,84,100,3.37,JP,2022-08-11 21:04:28,overcast clouds
199,Robertsport,6.7533,-11.3686,25.24,84,91,6.05,LR,2022-08-11 21:04:29,light rain
200,Lufilufi,-13.8745,-171.5986,26.88,81,23,7.06,WS,2022-08-11 21:04:29,light rain
201,Ipixuna,-1.7625,-48.8043,28.33,68,57,2.96,BR,2022-08-11 21:04:30,broken clouds
202,Tecoanapa,16.5167,-98.75,29.03,63,100,4.01,MX,2022-08-11 21:04:30,overcast clouds
203,Port Hardy,50.6996,-127.4199,16.55,90,71,2.17,CA,2022-08-11 21:04:30,broken clouds
204,Half Moon Bay,37.4636,-122.4286,29.19,64,20,8.75,US,2022-08-11 21:04:31,few clouds
205,Tahe,52.3333,124.7333,10.36,97,86,1.43,CN,2022-08-11 21:04:31,overcast clouds
206,Kirkenes,69.7271,30.0458,13.53,71,75,7.72,NO,2022-08-11 21:04:32,light rain
207,Abbeville,50.1,1.8333,24.98,40,1,5.27,FR,2022-08-11 21:04:32,clear sky
208,Barra Velha,-26.6322,-48.6847,17.95,91,82,2.34,BR,2022-08-11 21:04:32,broken clouds
209,Tangshan,39.6333,118.1833,21.8,94,44,0.59,CN,2022-08-11 21:02:13,scattered clouds
210,Oussouye,12.485,-16.5469,26.97,79,100,3.74,SN,2022-08-11 21:04:33,overcast clouds
211,Yarmouth,41.7057,-70.2286,23.88,92,75,2.06,US,2022-08-11 21:04:33,broken clouds
212,Parkes,-33.1333,148.1833,11.86,79,100,0.45,AU,2022-08-11 21:04:34,overcast clouds
213,Madras,13.0878,80.2785,29.99,80,40,4.12,IN,2022-08-11 21:04:34,scattered clouds
214,Chernyshevskiy,63.0128,112.4714,12.35,93,58,1.33,RU,2022-08-11 21:04:35,broken clouds
215,Naze,28.3667,129.4833,26.27,82,100,2.58,JP,2022-08-11 21:04:35,overcast clouds
216,Rosarito,32.3333,-117.0333,35.78,54,2,6.51,MX,2022-08-11 21:04:35,clear sky
217,San Quintin,30.4833,-115.95,25.26,68,100,5.17,MX,2022-08-11 21:04:36,overcast clouds
218,Simao,22.7886,100.9748,19.35,99,100,1.51,CN,2022-08-11 21:03:44,overcast clouds
219,San Cristobal,7.7669,-72.225,27.98,49,77,3.39,VE,2022-08-11 21:02:41,broken clouds
220,Bathsheba,13.2167,-59.5167,28.16,77,10,5.58,BB,2022-08-11 21:01:11,clear sky
221,Dunedin,-45.8742,170.5036,4.33,73,3,2.23,NZ,2022-08-11 20:59:42,clear sky
222,Christchurch,-43.5333,172.6333,1.06,92,7,1.03,NZ,2022-08-11 21:03:28,clear sky
223,Sterling,39.0062,-77.4286,31.59,50,20,4.47,US,2022-08-11 21:05:37,few clouds
224,Nerchinskiy Zavod,51.3088,119.61,12.69,92,99,0.9,RU,2022-08-11 21:05:37,overcast clouds
225,Sembe,1.6481,14.5806,22.36,87,99,1.13,CG,2022-08-11 21:05:38,overcast clouds
226,Esperance,-33.8667,121.9,11.34,73,88,3.76,AU,2022-08-11 21:05:38,overcast clouds
227,Paamiut,61.994,-49.6678,6.36,92,26,3.46,GL,2022-08-11 21:05:39,scattered clouds
228,Lodja,-3.4833,23.4333,25.2,29,100,0.85,CD,2022-08-11 21:05:39,overcast clouds
229,Hithadhoo,-0.6,73.0833,27.54,75,5,3.12,MV,2022-08-11 21:05:39,moderate rain
230,Beaupre,47.0443,-70.8953,24.27,81,31,4.34,CA,2022-08-11 21:05:40,scattered clouds
231,Kalianget,-7.05,113.9333,26.93,81,52,4.98,ID,2022-08-11 21:05:40,broken clouds
232,Yangambi,0.8102,24.4336,23.06,86,92,1.4,CD,2022-08-11 21:05:41,overcast clouds
233,Saskylakh,71.9167,114.0833,6.21,71,100,2.92,RU,2022-08-11 21:05:41,overcast clouds
234,Leningradskiy,69.3833,178.4167,9.42,77,98,0.94,RU,2022-08-11 21:05:41,overcast clouds
235,Minot,48.2325,-101.2963,23.12,56,0,6.17,US,2022-08-11 21:05:42,clear sky
236,Bambous Virieux,-20.3428,57.7575,20.12,65,93,7.17,MU,2022-08-11 21:05:42,overcast clouds
237,Palauig,15.435,119.9045,26.62,79,82,1.11,PH,2022-08-11 21:05:42,broken clouds
238,Hamada,34.8833,132.0833,25.42,87,100,2.07,JP,2022-08-11 21:05:43,overcast clouds
239,Boa Vista,2.8197,-60.6733,29.99,51,40,2.06,BR,2022-08-11 21:05:43,scattered clouds
240,Mansa,29.9833,75.3833,26.58,65,97,2.66,IN,2022-08-11 21:05:44,overcast clouds
241,Rome,34.257,-85.1647,31.38,69,40,2.57,US,2022-08-11 21:03:26,scattered clouds
242,Kiunga,-6.1219,141.2906,22.78,99,100,1.22,PG,2022-08-11 21:05:44,overcast clouds
243,Dikson,73.5069,80.5464,6.86,95,100,9.24,RU,2022-08-11 21:05:45,overcast clouds
244,Seoul,37.5683,126.9778,22.66,92,4,0.46,KR,2022-08-11 21:02:12,clear sky
245,Ballina,-28.8667,153.5667,13.34,99,100,2.37,AU,2022-08-11 21:05:45,overcast clouds
246,Moerai,-22.4333,-151.3333,22.52,76,0,3.01,PF,2022-08-11 21:05:46,clear sky
247,Krasnoselkup,65.7,82.4667,8.41,75,97,2.01,RU,2022-08-11 21:05:46,overcast clouds
248,Bakel,14.905,-12.4568,29.83,67,97,4.54,SN,2022-08-11 21:05:47,light rain
249,Lorengau,-2.0226,147.2712,26.48,81,65,2.35,PG,2022-08-11 21:05:47,broken clouds
250,Ucluelet,48.9329,-125.5528,19.49,82,2,2.94,CA,2022-08-11 21:05:47,clear sky
251,Lahat,-3.8,103.5333,23.24,89,83,0.84,ID,2022-08-11 21:05:48,broken clouds
252,Preobrazheniye,42.9019,133.9064,19.44,82,33,3.09,RU,2022-08-11 21:05:48,scattered clouds
253,Havre-Saint-Pierre,50.2334,-63.5986,18.49,77,75,2.6,CA,2022-08-11 21:05:49,broken clouds
254,Olinda,-8.0089,-34.8553,25.85,73,0,2.57,BR,2022-08-11 21:05:49,clear sky
255,Tocopilla,-22.092,-70.1979,16.99,67,23,2.63,CL,2022-08-11 21:05:49,few clouds
256,Hobyo,5.3505,48.5268,24.44,81,48,11.86,SO,2022-08-11 21:05:50,scattered clouds
257,Taiyuan,37.8694,112.5603,22.92,88,16,1.0,CN,2022-08-11 21:05:50,mist
258,Norfolk,42.1668,-71.2495,29.01,66,20,3.6,US,2022-08-11 21:05:51,few clouds
259,Liusha,27.2098,108.59,20.46,97,96,1.62,CN,2022-08-11 21:05:51,overcast clouds
260,Ust-Omchug,61.15,149.6333,12.52,86,98,1.55,RU,2022-08-11 21:05:51,overcast clouds
261,Nacala,-14.5428,40.6728,20.96,77,0,1.82,MZ,2022-08-11 21:05:52,clear sky
262,Ishigaki,24.3448,124.1572,29.58,68,41,1.39,JP,2022-08-11 21:05:52,scattered clouds
